schidkn,pscore,classid,cs,female,nwhite,n
4,12.916588,1100.0,23.0,0.0,0.0,1.0
32,2.129472,9328.0,16.0,1.0,1.0,1.0
16,1.8363409,4714.0,26.0,0.0,1.0,1.0
15,3.212884,4400.0,15.0,1.0,1.0,1.0
5,1.8363409,1400.0,24.0,0.0,0.0,1.0
28,16.015352,8126.0,15.0,0.0,1.0,1.0
64,5.484489,19055.0,21.0,0.0,0.0,1.0
45,1.3672051,13400.0,24.0,0.0,1.0,1.0
56,7.799304,16647.0,21.0,1.0,0.0,1.0
28,11.8610325,8126.0,15.0,0.0,1.0,1.0
18,1.8363409,5100.0,16.0,0.0,0.0,1.0
16,7.799304,4600.0,26.0,0.0,1.0,1.0
37,4.2252297,10900.0,25.0,1.0,1.0,1.0
45,6.9351063,13300.0,24.0,0.0,1.0,1.0
17,4.8548594,4900.0,24.0,0.0,1.0,1.0
45,2.4227607,13200.0,15.0,0.0,1.0,1.0
20,2.0832546,5800.0,21.0,0.0,1.0,1.0
32,15.003008,9329.0,16.0,0.0,1.0,1.0
61,2.4227607,18061.0,17.0,0.0,0.0,1.0
38,6.9351063,11200.0,17.0,0.0,0.0,1.0
55,6.1264644,16345.0,22.0,0.0,0.0,1.0
13,2.4227607,3800.0,23.0,0.0,0.0,1.0
45,4.2252297,13400.0,24.0,0.0,1.0,1.0
57,2.4227607,17000.0,20.0,0.0,0.0,1.0
64,5.484489,19056.0,19.0,1.0,0.0,1.0
45,6.9351063,13400.0,24.0,0.0,1.0,1.0
9,1.2622669,2713.0,21.0,1.0,0.0,1.0
26,12.916588,7600.0,17.0,1.0,1.0,1.0
70,1.8098453,20769.0,16.0,1.0,0.0,1.0
63,9.278981,18751.0,22.0,1.0,1.0,1.0
39,6.0320673,11437.0,12.0,0.0,0.0,1.0
56,1.7542897,16700.0,23.0,1.0,1.0,1.0
22,7.482685,6422.0,20.0,0.0,1.0,1.0
28,7.482685,8126.0,15.0,0.0,1.0,1.0
25,3.316018,7300.0,22.0,0.0,1.0,1.0
53,11.359228,15600.0,15.0,0.0,0.0,1.0
56,5.402438,16648.0,23.0,0.0,1.0,1.0
38,8.346883,11300.0,19.0,1.0,0.0,1.0
26,11.359228,7600.0,17.0,1.0,1.0,1.0
45,4.272808,13300.0,24.0,1.0,1.0,1.0
43,2.2172527,12643.0,14.0,1.0,0.0,1.0
32,10.285153,9328.0,16.0,1.0,1.0,1.0
72,5.402438,21463.0,23.0,0.0,0.0,1.0
31,6.6740427,9200.0,19.0,1.0,1.0,1.0
28,5.402438,8127.0,15.0,1.0,1.0,1.0
50,6.0320673,14700.0,17.0,0.0,0.0,1.0
16,5.402438,4513.0,17.0,0.0,1.0,1.0
45,4.272808,13200.0,15.0,1.0,1.0,1.0
45,4.772808,13400.0,24.0,1.0,1.0,1.0
45,12.40861,13400.0,24.0,0.0,1.0,1.0
78,2.2172527,22900.0,24.0,1.0,0.0,1.0
19,3.7604625,5500.0,26.0,0.0,1.0,1.0
52,1.9147836,15400.0,20.0,1.0,0.0,1.0
33,5.402438,9700.0,26.0,0.0,1.0,1.0
28,12.40861,8233.0,23.0,1.0,1.0,1.0
5,4.272808,1400.0,24.0,1.0,0.0,1.0
19,8.346883,5415.0,17.0,0.0,1.0,1.0
61,14.544413,18200.0,22.0,1.0,0.0,1.0
29,6.6740427,8500.0,21.0,1.0,1.0,1.0
45,4.272808,13400.0,24.0,1.0,1.0,1.0
28,6.6740427,8100.0,15.0,1.0,1.0,1.0
49,4.272808,14400.0,16.0,1.0,1.0,1.0
76,2.3839195,22668.0,22.0,1.0,0.0,1.0
69,20.099968,20600.0,23.0,0.0,0.0,1.0
7,8.346883,1904.0,14.0,0.0,0.0,1.0
26,11.359228,7700.0,20.0,1.0,1.0,1.0
56,5.402438,16700.0,23.0,1.0,1.0,1.0
16,2.3839195,4600.0,26.0,0.0,1.0,1.0
18,7.482685,5200.0,24.0,0.0,1.0,1.0
79,3.7604625,23300.0,22.0,0.0,0.0,1.0
28,6.0320673,8100.0,15.0,1.0,1.0,1.0
31,14.544413,9200.0,19.0,1.0,1.0,1.0
7,2.0691047,2107.0,23.0,1.0,1.0,1.0
51,12.40861,15141.0,25.0,0.0,0.0,1.0
2,6.6740427,500.0,19.0,0.0,1.0,1.0
74,8.346883,22100.0,25.0,0.0,1.0,1.0
59,2.9703393,17500.0,17.0,0.0,0.0,1.0
12,2.6308331,3400.0,14.0,1.0,0.0,1.0
16,8.346883,4715.0,25.0,1.0,1.0,1.0
53,4.272808,15700.0,23.0,0.0,0.0,1.0
57,3.316018,16900.0,19.0,1.0,1.0,1.0
78,9.278981,23000.0,23.0,0.0,0.0,1.0
56,4.772808,16700.0,23.0,0.0,1.0,1.0
33,1.9147836,9700.0,26.0,1.0,1.0,1.0
45,3.316018,13300.0,24.0,0.0,1.0,1.0
45,1.9147836,13300.0,24.0,1.0,1.0,1.0
73,7.482685,21600.0,15.0,0.0,0.0,1.0
32,25.8654,9328.0,16.0,0.0,1.0,1.0
70,4.772808,20769.0,16.0,1.0,0.0,1.0
11,11.359228,3300.0,22.0,0.0,1.0,1.0
45,2.9703393,13400.0,24.0,1.0,1.0,1.0
59,6.6740427,17456.0,13.0,0.0,0.0,1.0
43,1.9147836,12600.0,15.0,0.0,1.0,1.0
14,17.729599,4100.0,21.0,0.0,1.0,1.0
28,2.2172527,8127.0,15.0,0.0,1.0,1.0
35,10.911827,10200.0,17.0,1.0,0.0,1.0
80,10.911827,23500.0,21.0,0.0,0.0,1.0
71,15.171086,21100.0,24.0,1.0,0.0,1.0
33,4.4779754,9700.0,26.0,1.0,1.0,1.0
19,3.5970125,5500.0,26.0,0.0,1.0,1.0
5,16.17726,1400.0,24.0,1.0,0.0,1.0
2,6.029111,400.0,16.0,0.0,1.0,1.0
6,7.3007164,1700.0,18.0,1.0,0.0,1.0
16,3.5970125,4714.0,26.0,0.0,1.0,1.0
3,4.3871355,701.0,15.0,1.0,0.0,1.0
28,3.5970125,8334.0,22.0,1.0,1.0,1.0
56,11.985902,16550.0,15.0,0.0,0.0,1.0
20,14.090839,5900.0,21.0,0.0,1.0,1.0
51,2.3110042,15048.0,17.0,1.0,0.0,1.0
35,4.899482,10300.0,24.0,1.0,0.0,1.0
56,4.899482,16648.0,23.0,1.0,1.0,1.0
16,20.72664,4714.0,26.0,1.0,1.0,1.0
46,6.658741,13700.0,23.0,0.0,1.0,1.0
27,24.214296,8032.0,25.0,1.0,1.0,1.0
16,14.090839,4600.0,26.0,0.0,1.0,1.0
19,29.720469,5500.0,26.0,0.0,1.0,1.0
74,7.3007164,22000.0,24.0,1.0,0.0,1.0
45,4.3871355,13300.0,24.0,0.0,1.0,1.0
73,20.72664,21675.0,13.0,1.0,0.0,1.0
24,3.2575064,7000.0,21.0,1.0,1.0,1.0
56,2.843926,16648.0,23.0,1.0,0.0,1.0
56,5.399482,16550.0,15.0,1.0,0.0,1.0
16,20.72664,4600.0,26.0,0.0,1.0,1.0
79,4.3871355,23200.0,22.0,1.0,0.0,1.0
78,8.109358,23000.0,23.0,1.0,0.0,1.0
34,21.868616,9900.0,15.0,1.0,0.0,1.0
66,9.905654,19565.0,14.0,0.0,0.0,1.0
62,4.899482,18500.0,23.0,1.0,0.0,1.0
2,5.399482,500.0,19.0,0.0,1.0,1.0
48,6.029111,14300.0,21.0,0.0,0.0,1.0
5,8.109358,1500.0,21.0,0.0,0.0,1.0
11,20.72664,3200.0,22.0,1.0,1.0,1.0
16,5.399482,4513.0,17.0,1.0,1.0,1.0
28,16.17726,8335.0,23.0,1.0,1.0,1.0
51,31.918,15000.0,16.0,1.0,0.0,1.0
72,14.090839,21464.0,22.0,1.0,0.0,1.0
55,3.0105927,16400.0,21.0,1.0,0.0,1.0
71,4.899482,21072.0,16.0,1.0,0.0,1.0
8,4.3871355,2400.0,23.0,1.0,0.0,1.0
31,8.973556,9200.0,19.0,1.0,1.0,1.0
34,4.3871355,9900.0,15.0,0.0,0.0,1.0
45,5.399482,13200.0,15.0,0.0,1.0,1.0
22,14.090839,6525.0,20.0,0.0,1.0,1.0
22,14.090839,6525.0,20.0,0.0,1.0,1.0
28,6.658741,8100.0,15.0,1.0,1.0,1.0
14,10.911827,4000.0,13.0,0.0,1.0,1.0
28,28.603184,8233.0,23.0,0.0,1.0,1.0
37,15.171086,11039.0,24.0,0.0,0.0,1.0
33,19.584665,9630.0,16.0,0.0,1.0,1.0
18,29.720469,5300.0,22.0,1.0,1.0,1.0
32,6.029111,9500.0,24.0,1.0,1.0,1.0
5,5.399482,1400.0,24.0,1.0,0.0,1.0
5,5.399482,1300.0,16.0,0.0,0.0,1.0
45,6.658741,13300.0,24.0,0.0,1.0,1.0
24,5.399482,7000.0,21.0,1.0,1.0,1.0
2,7.3007164,400.0,16.0,1.0,0.0,1.0
25,3.9426913,7200.0,17.0,0.0,1.0,1.0
73,24.214296,21800.0,22.0,0.0,0.0,1.0
78,3.2575064,23000.0,23.0,1.0,0.0,1.0
74,17.189604,21976.0,16.0,1.0,1.0,1.0
75,13.035284,22366.0,23.0,0.0,0.0,1.0
56,3.2575064,16700.0,23.0,0.0,0.0,1.0
56,8.973556,16647.0,21.0,1.0,0.0,1.0
56,7.3007164,16550.0,15.0,0.0,0.0,1.0
56,3.2575064,16648.0,23.0,1.0,1.0,1.0
66,11.985902,19757.0,24.0,0.0,0.0,1.0
2,8.973556,400.0,16.0,0.0,0.0,1.0
79,8.109358,23300.0,22.0,1.0,0.0,1.0
68,11.985902,20260.0,22.0,0.0,0.0,1.0
76,7.3007164,22579.0,17.0,1.0,0.0,1.0
5,13.035284,1500.0,21.0,1.0,0.0,1.0
66,13.826231,19757.0,24.0,1.0,0.0,1.0
33,31.560799,9600.0,15.0,0.0,1.0,1.0
16,5.1780825,4715.0,25.0,0.0,1.0,1.0
56,8.091663,16648.0,23.0,0.0,0.0,1.0
3,7.4496875,702.0,16.0,1.0,0.0,1.0
15,11.702774,4300.0,19.0,0.0,1.0,1.0
25,6.059869,7300.0,22.0,1.0,1.0,1.0
7,5.1780825,2004.0,23.0,0.0,0.0,1.0
3,8.900305,701.0,15.0,0.0,0.0,1.0
60,3.2274652,17800.0,25.0,0.0,0.0,1.0
17,13.826231,4800.0,15.0,1.0,1.0,1.0
50,20.375612,14747.0,16.0,1.0,0.0,1.0
63,19.147219,18751.0,22.0,1.0,0.0,1.0
18,5.6904283,5216.0,25.0,0.0,1.0,1.0
6,9.764503,1800.0,23.0,0.0,0.0,1.0
39,11.702774,11600.0,19.0,1.0,0.0,1.0
56,3.2274652,16700.0,23.0,0.0,0.0,1.0
27,25.005243,7929.0,26.0,1.0,1.0,1.0
35,3.4867246,10400.0,25.0,0.0,0.0,1.0
2,5.6904283,400.0,16.0,1.0,0.0,1.0
36,9.764503,10532.0,13.0,0.0,0.0,1.0
32,28.307713,9536.0,22.0,1.0,1.0,1.0
44,4.387959,13100.0,23.0,0.0,1.0,1.0
56,6.820058,16648.0,23.0,1.0,0.0,1.0
53,5.6904283,15600.0,15.0,0.0,0.0,1.0
24,21.517588,6921.0,14.0,1.0,1.0,1.0
4,6.820058,1200.0,24.0,1.0,0.0,1.0
39,4.387959,11600.0,19.0,1.0,0.0,1.0
45,8.900305,13300.0,24.0,1.0,1.0,1.0
45,19.147219,13400.0,24.0,0.0,1.0,1.0
33,6.1904283,9700.0,26.0,1.0,1.0,1.0
26,4.7336383,7500.0,17.0,0.0,1.0,1.0
49,5.6904283,14500.0,22.0,0.0,0.0,1.0
61,25.005243,18200.0,22.0,0.0,0.0,1.0
32,10.696601,9500.0,24.0,1.0,1.0,1.0
1,7.4496875,200.0,20.0,1.0,1.0,1.0
32,12.776848,9500.0,24.0,0.0,1.0,1.0
33,15.962032,9838.0,27.0,1.0,1.0,1.0
51,4.387959,15243.0,24.0,1.0,0.0,1.0
34,6.820058,10100.0,20.0,0.0,0.0,1.0
33,5.1780825,9700.0,26.0,1.0,1.0,1.0
19,14.881786,5500.0,26.0,0.0,1.0,1.0
7,8.091663,1903.0,17.0,1.0,0.0,1.0
36,9.764503,10600.0,23.0,0.0,0.0,1.0
78,14.881786,23000.0,23.0,0.0,0.0,1.0
28,6.820058,8334.0,22.0,1.0,1.0,1.0
48,8.900305,14146.0,12.0,1.0,0.0,1.0
71,6.820058,21200.0,24.0,1.0,0.0,1.0
42,6.059869,12300.0,17.0,0.0,0.0,1.0
54,20.375612,16100.0,22.0,0.0,1.0,1.0
20,14.881786,5800.0,21.0,0.0,1.0,1.0
56,6.1904283,16648.0,23.0,1.0,0.0,1.0
57,3.4867246,17000.0,20.0,1.0,0.0,1.0
71,6.820058,21100.0,24.0,1.0,0.0,1.0
80,10.696601,23600.0,21.0,0.0,0.0,1.0
16,6.1904283,4714.0,26.0,0.0,1.0,1.0
66,8.091663,19757.0,24.0,1.0,0.0,1.0
51,8.900305,15141.0,25.0,1.0,0.0,1.0
22,6.820058,6525.0,20.0,1.0,1.0,1.0
2,12.776848,500.0,19.0,0.0,1.0,1.0
51,12.776848,15243.0,24.0,1.0,1.0,1.0
1,7.4496875,201.0,20.0,0.0,1.0,1.0
50,4.7336383,14700.0,17.0,0.0,0.0,1.0
28,10.696601,8127.0,15.0,1.0,1.0,1.0
10,4.7336383,3000.0,22.0,0.0,0.0,1.0
37,15.962032,10834.0,16.0,0.0,1.0,1.0
56,7.4496875,16551.0,16.0,0.0,0.0,1.0
59,5.1780825,17456.0,13.0,0.0,0.0,1.0
33,5.1780825,9838.0,27.0,0.0,1.0,1.0
56,3.1040084,16700.0,23.0,0.0,0.0,1.0
79,6.820058,23180.0,15.0,0.0,0.0,1.0
2,4.7336383,400.0,16.0,1.0,1.0,1.0
78,8.900305,23000.0,23.0,1.0,0.0,1.0
17,16.968206,4900.0,24.0,0.0,1.0,1.0
22,4.387959,6422.0,20.0,0.0,1.0,1.0
71,5.6904283,21100.0,24.0,1.0,0.0,1.0
64,8.900305,19056.0,19.0,1.0,0.0,1.0
60,6.820058,17900.0,21.0,1.0,0.0,1.0
73,8.900305,21675.0,13.0,0.0,0.0,1.0
70,14.881786,20961.0,24.0,1.0,0.0,1.0
27,43.258327,8032.0,25.0,0.0,1.0,1.0
5,21.517588,1500.0,21.0,1.0,0.0,1.0
16,13.826231,4714.0,26.0,0.0,1.0,1.0
24,16.968206,7100.0,18.0,0.0,1.0,1.0
34,17.98055,10000.0,19.0,1.0,0.0,1.0
22,13.826231,6423.0,22.0,1.0,1.0,1.0
53,14.881786,15700.0,23.0,0.0,0.0,1.0
4,39.258327,1100.0,23.0,1.0,0.0,1.0
61,14.881786,18100.0,20.0,1.0,0.0,1.0
45,4.7336383,13300.0,24.0,0.0,1.0,1.0
78,7.4496875,22800.0,14.0,1.0,0.0,1.0
20,11.702774,5919.0,21.0,0.0,1.0,1.0
28,6.1904283,8233.0,23.0,0.0,1.0,1.0
8,19.147219,2309.0,25.0,1.0,0.0,1.0
17,5.1780825,4800.0,15.0,0.0,1.0,1.0
7,15.962032,2004.0,23.0,1.0,0.0,1.0
73,27.108345,21800.0,22.0,1.0,0.0,1.0
18,9.065136,5200.0,24.0,0.0,1.0,1.0
16,14.799704,4600.0,26.0,1.0,1.0,1.0
71,6.151555,21200.0,24.0,0.0,0.0,1.0
60,9.873777,17759.0,15.0,0.0,0.0,1.0
8,18.954023,2400.0,23.0,0.0,0.0,1.0
66,14.799704,19757.0,24.0,0.0,0.0,1.0
60,16.935505,17900.0,21.0,1.0,1.0,1.0
22,18.954023,6526.0,22.0,1.0,1.0,1.0
12,12.676247,3600.0,23.0,0.0,0.0,1.0
76,7.163901,22579.0,17.0,0.0,0.0,1.0
45,9.065136,13300.0,24.0,0.0,1.0,1.0
15,10.737975,4300.0,19.0,0.0,1.0,1.0
6,5.0219254,1700.0,18.0,0.0,0.0,1.0
22,8.423161,6526.0,22.0,1.0,1.0,1.0
15,16.935505,4210.0,13.0,1.0,1.0,1.0
26,22.49106,7700.0,20.0,0.0,1.0,1.0
70,11.6700735,20962.0,23.0,0.0,0.0,1.0
19,6.151555,5500.0,26.0,0.0,1.0,1.0
42,12.676247,12342.0,16.0,0.0,0.0,1.0
60,7.163901,17759.0,15.0,1.0,0.0,1.0
2,22.49106,500.0,19.0,0.0,1.0,1.0
35,23.633036,10400.0,25.0,0.0,0.0,1.0
38,7.7935305,11300.0,19.0,0.0,0.0,1.0
19,9.065136,5415.0,17.0,1.0,1.0,1.0
57,13.75032,17000.0,20.0,0.0,0.0,1.0
53,8.423161,15600.0,15.0,0.0,0.0,1.0
31,4.608345,9100.0,21.0,1.0,1.0,1.0
20,6.151555,5800.0,21.0,0.0,1.0,1.0
24,12.676247,7100.0,18.0,1.0,1.0,1.0
34,9.873777,10100.0,20.0,0.0,0.0,1.0
28,11.6700735,8334.0,22.0,0.0,1.0,1.0
55,12.676247,16346.0,23.0,0.0,0.0,1.0
50,15.855259,14800.0,24.0,0.0,0.0,1.0
32,12.676247,9329.0,16.0,1.0,1.0,1.0
80,18.954023,23600.0,21.0,1.0,0.0,1.0
56,18.954023,16550.0,15.0,1.0,1.0,1.0
33,5.3614316,9700.0,26.0,1.0,1.0,1.0
70,7.163901,20769.0,16.0,1.0,0.0,1.0
56,4.608345,16551.0,16.0,1.0,1.0,1.0
27,20.120691,7929.0,26.0,1.0,1.0,1.0
6,22.49106,1800.0,23.0,0.0,0.0,1.0
33,21.349085,9630.0,16.0,0.0,1.0,1.0
56,6.151555,16648.0,23.0,0.0,1.0,1.0
19,14.799704,5500.0,26.0,1.0,1.0,1.0
75,8.423161,22200.0,16.0,0.0,0.0,1.0
16,7.7935305,4600.0,26.0,0.0,1.0,1.0
40,34.94168,11800.0,22.0,0.0,0.0,1.0
78,6.151555,23000.0,23.0,0.0,0.0,1.0
56,8.423161,16700.0,23.0,0.0,1.0,1.0
58,27.108345,17349.0,24.0,1.0,0.0,1.0
18,14.799704,5300.0,22.0,1.0,1.0,1.0
16,12.676247,4715.0,25.0,1.0,1.0,1.0
16,6.663901,4513.0,17.0,0.0,1.0,1.0
55,15.855259,16200.0,13.0,0.0,0.0,1.0
28,7.7935305,8200.0,24.0,0.0,1.0,1.0
57,7.7935305,16853.0,12.0,1.0,1.0,1.0
8,16.935505,2205.0,16.0,1.0,0.0,1.0
51,15.855259,15142.0,22.0,0.0,1.0,1.0
38,37.70094,11300.0,19.0,0.0,0.0,1.0
7,4.2009377,1904.0,14.0,0.0,0.0,1.0
16,6.663901,4715.0,25.0,1.0,1.0,1.0
16,5.3614316,4512.0,17.0,1.0,1.0,1.0
45,18.954023,13300.0,24.0,0.0,1.0,1.0
18,12.676247,5100.0,16.0,0.0,1.0,1.0
66,20.120691,19600.0,21.0,1.0,0.0,1.0
78,23.633036,22900.0,24.0,0.0,0.0,1.0
8,12.676247,2308.0,24.0,1.0,1.0,1.0
17,7.163901,4800.0,15.0,1.0,0.0,1.0
16,13.75032,4714.0,26.0,1.0,1.0,1.0
35,27.108345,10300.0,24.0,0.0,0.0,1.0
33,7.7935305,9838.0,27.0,1.0,1.0,1.0
32,9.065136,9500.0,24.0,1.0,1.0,1.0
64,16.935505,19100.0,23.0,1.0,0.0,1.0
9,7.163901,2712.0,21.0,1.0,0.0,1.0
74,10.737975,22000.0,24.0,1.0,0.0,1.0
5,12.676247,1400.0,24.0,0.0,0.0,1.0
33,4.775012,9700.0,26.0,1.0,1.0,1.0
73,24.83674,21675.0,13.0,0.0,0.0,1.0
56,4.460197,16648.0,23.0,0.0,0.0,1.0
25,9.065136,7300.0,22.0,1.0,0.0,1.0
28,20.120691,8335.0,23.0,0.0,1.0,1.0
26,7.163901,7500.0,17.0,1.0,1.0,1.0
75,4.1453824,22367.0,24.0,0.0,0.0,1.0
26,12.676247,7600.0,17.0,0.0,1.0,1.0
24,11.6700735,7000.0,21.0,0.0,1.0,1.0
26,6.151555,7500.0,17.0,0.0,1.0,1.0
22,17.941679,6423.0,22.0,1.0,1.0,1.0
70,15.855259,20961.0,24.0,1.0,0.0,1.0
9,12.676247,2712.0,21.0,0.0,0.0,1.0
20,7.163901,5800.0,21.0,0.0,1.0,1.0
8,5.0219254,2400.0,23.0,1.0,0.0,1.0
56,5.707111,16647.0,21.0,0.0,1.0,1.0
31,18.954023,9100.0,21.0,0.0,1.0,1.0
16,5.3614316,4715.0,25.0,0.0,1.0,1.0
15,29.281185,4211.0,12.0,0.0,1.0,1.0
56,8.423161,16551.0,16.0,1.0,0.0,1.0
16,16.935505,4513.0,17.0,0.0,1.0,1.0
45,4.775012,13200.0,15.0,0.0,1.0,1.0
60,7.163901,17759.0,15.0,0.0,0.0,1.0
45,7.163901,13400.0,24.0,0.0,1.0,1.0
79,6.151555,23300.0,22.0,0.0,0.0,1.0
58,35.94168,17350.0,22.0,0.0,0.0,1.0
56,17.941679,16647.0,21.0,0.0,0.0,1.0
7,9.873777,2106.0,24.0,1.0,1.0,1.0
70,11.6700735,20800.0,24.0,0.0,0.0,1.0
40,34.94168,11900.0,23.0,1.0,0.0,1.0
33,7.163901,9838.0,27.0,1.0,1.0,1.0
45,6.151555,13300.0,24.0,1.0,1.0,1.0
56,6.151555,16648.0,23.0,0.0,0.0,1.0
25,7.163901,7300.0,22.0,0.0,1.0,1.0
71,12.676247,21100.0,24.0,0.0,0.0,1.0
7,8.423161,1903.0,17.0,0.0,0.0,1.0
5,8.423161,1400.0,24.0,1.0,0.0,1.0
8,16.993004,2308.0,24.0,1.0,0.0,1.0
16,11.875721,4600.0,26.0,1.0,1.0,1.0
79,21.258438,23181.0,14.0,0.0,0.0,1.0
42,24.770782,12342.0,16.0,1.0,1.0,1.0
56,11.875721,16648.0,23.0,1.0,0.0,1.0
22,8.301647,6423.0,22.0,1.0,1.0,1.0
29,16.993004,8600.0,19.0,1.0,1.0,1.0
69,13.8139925,20400.0,14.0,0.0,0.0,1.0
