"","x","y"
"77",-0.0122,0.3771
"78",-0.2458,0.5107
"79",0.273,0.5662
"80",0.1366,0.642
"81",0.284,0.5896
"82",-0.2797,0.3582
"83",-0.2835,0.3327
"84",-0.3301,0.2563
"85",-0.3238,0.4893
"86",-0.007,0.3959
"87",-0.0045,0.4855
"88",-0.0201,0.3855
"89",-0.229,0.5604
"90",0.1208,0.5398
"91",0.25,0.5417
"92",0.1004,0.5197
"93",0.049,0.4975
"94",-0.0011,0.5038
"95",0.0515,0.5662
"96",0.1325,0.5916
"97",-0.0036,0.4262
"98",-0.1475,0.358
"99",-0.2567,0.3151
"100",-0.2704,0.5316
"101",0.0942,0.6322
"102",0.2644,0.602
"103",-0.0379,0.5532
"104",0.1063,0.6033
"105",0.2401,0.5676
"106",0.1352,0.5571
"107",0.1141,0.6421
"108",-0.4274,0.1965
"109",-0.5746,0.4085
"110",-0.0997,0.2149
"111",-0.5313,0.2267
"112",-0.5466,0.3379
"113",-0.3242,0.4897
"114",0.0495,0.7194
"115",0.4712,0.762
"116",-0.1436,0.3109
"117",-0.1117,0.3599
"118",-0.2761,0.4424
"119",-0.1106,0.3118
"120",-1,0
"121",-1,0
"122",-1,0
"123",-0.4228,0.3622
"124",-0.2755,0
"125",-1,0.2511
"126",-0.4586,0.222
"127",-0.556,0.8273
"128",0.6546,0.2244
"129",1,0.5274
"130",0.0548,0.7172
"131",0.0973,0.5464
"132",0.1927,0.6122
"133",0.2244,1
"134",1,1
"135",1,1
"136",1,0.7365
"137",0.4729,1
"138",1,0.7236
"139",0.4998,0.7284
"140",0.4567,0.672
"141",0.3739,0.6594
"142",0.3188,0.8025
"143",0.6051,1
"144",0.2221,0.7175
"145",0.4979,1
"146",0.4789,0.7153
"147",1,0.7094
"148",0.4188,1
"149",1,1
"150",1,0.7104
"151",0.4207,0.4783
"152",0.2013,0.3766
"153",0.1109,1
"154",1,0.7525
"155",0.5049,0.7231
"156",0.3483,1
"157",1,1
"158",1,1
"159",-0.1044,0.5315
"160",0.0762,0.5696
"161",0.1835,0.5694
"162",0.1426,0.5943
"163",0.1886,0.6379
"164",0.2758,0.6453
"165",0.4351,1
"166",1,0.6095
"167",0.219,0.5433
"168",0.1612,0.5207
"169",0.0415,1
"170",1,0.519
"171",0.484,0.8885
"172",0.7771,0.7031
"173",0.4063,0.6553
"174",1,0.7166
"175",0.4332,1
"176",-1,0.2388
"177",-1,0.2672
"178",-0.4656,0.3398
"179",-0.3204,0.4549
"180",-0.3002,0.2519
"181",-0.4962,0.3959
"182",-0.2082,0.367
"183",0.2128,0.6731
"184",0.3462,0.5221
"185",0.2402,0.6597
"186",0.0671,1
"187",1,0.8412
"188",0.6823,0.5218
"189",0.3971,1
"190",1,0.7073
"191",-1,0.2629
"192",-0.4236,0
"193",-1,0
"194",-1,0.3407
"195",-0.2921,0.3429
"196",-0.3141,0.3392
"197",-0.3216,0.6169
"198",1,0.5481
"199",0.1348,0.5376
"200",0.0752,0.5082
"201",0.4394,1
"202",1,0.6971
"203",0.3942,0.6506
"204",-0.0312,0.4823
"205",0.0013,0.5457
"206",0.5841,0.7847
"207",-1,0.6447
"208",0.2894,0.7558
"209",0.5117,1
"210",0.539,0.7449
"211",0.4899,0.6252
"212",0.2503,0.7222
"213",0.5956,0.7691
"214",0.5933,0.8484
"215",0.6968,1
"216",0.4283,1
"217",1,1
"218",1,1
"219",0.289,0.6985
"220",0.3971,0.7065
"221",-0.0207,0.4611
"222",0.0639,0.5478
"223",0.0957,0.6636
"224",0.3271,0.6575
"225",1,1
"226",1,1
"227",1,1
"228",0.81,0.7445
"229",0.5575,0.7461
"230",0.5375,0.7839
"231",0.8382,0.7222
"232",0.4444,0.8043
"233",0.6087,0.7228
"234",1,0.8435
"235",0.6869,0.8184
"236",-0.1334,0.4131
"237",-0.1316,0.3891
"238",-0.2218,0.4531
"239",-0.0938,0.4429
"240",0.657,1
"241",1,0.8294
"242",0.6589,0.5915
"243",0.7863,0.6956
"244",0.4643,0.9183
"245",0.8599,1
"246",1,0.8379
"247",0.6757,1
"248",1,0.7028
"249",0.3955,0.7225
"250",0.4449,1
"251",-0.3907,0.4151
"252",-0.0132,0.4704
"253",-0.0593,0.4782
"254",-0.0436,0.4178
"255",-0.2596,0.489
"256",-0.022,0.3263
"257",-0.3474,0.4296
"258",-0.2831,0
"259",-1,0.3886
"260",-0.2229,0.3938
"261",0.1142,0.6511
"262",0.3863,0.6667
"263",0.3335,0.5341
"264",0.3752,0.5446
"265",0.1261,0.7006
"266",1,0.8228
"267",0.5646,0.7531
"268",0.5062,0.8039
"269",0.6079,1
"270",1,0.7478
"271",0.4956,1
"272",1,1
"273",1,0.6899
"274",0.3798,0.9173
"275",0.8347,1
"276",1,1
"277",1,0.8082
"278",0.6164,1
"279",1,0.8404
"280",1,0.8248
"281",0.6497,1
"282",1,1
"283",-0.1925,0.45
"284",-0.1001,0
"285",-1,0.4962
"286",0.4957,1
"287",1,1
"288",1,0.7322
"289",-0.1312,0.3733
"290",-0.1599,0.4438
"291",-0.1125,0.5351
"292",0.0701,0.5853
"293",-0.2275,0.3526
"294",-0.2402,0.3762
"295",-0.2477,0.3896
"296",-0.2208,0.3969
"297",-0.1159,0.4248
"298",-0.0043,0.426
"299",-0.148,0.4104
"300",-0.1741,0.4345
"301",0.027,0.4377
"302",-0.1246,0.3663
"303",-0.2674,0.3258
"304",0.0427,0.6804
"305",0.3769,0.6166
"306",0.2512,0.6079
"307",-0.1783,0.4365
"308",-0.1271,0.3969
"309",-0.2063,0.4476
"310",-0.3689,0.4664
"311",-0.0342,0.3315
"312",-0.1565,0.3554
"313",-0.2084,0.3403
"314",-0.3194,0.4127
"315",-0.1711,0.3969
"316",-0.0024,0.3312
"317",-0.3363,0.2886
"318",-0.4229,0.3037
"319",-0.2846,0.3947
"320",-0.2107,0.3187
"321",-0.3626,0.3586
"322",-0.5445,0.2578
"323",-0.4844,0.4253
"324",-0.1426,0.5269
"325",-0.0549,0.435
"326",-0.0704,0.4477
"327",0.2404,0.6315
"328",0.1826,0.5577
"329",0.1154,0.6285
"330",0.257,0.6623
"331",0.3251,0.5659
"332",0.1357,0.6037
"333",0.2191,0.6095
"334",0.4584,0.6239
"335",0.2599,0.6124
"336",0.2248,0.6761
"337",0.3709,0.5771
"338",0.1542,0.4437
"339",-0.1127,0.4484
"340",0.083,0.6942
"341",0.4137,0.6683
"342",0.1931,0.6078
"343",0.2102,0.5221
"344",0.0442,0.633
"345",0.267,0.7037
"346",0.627,0.6466
"347",0.2932,0.6124
"348",0.2248,0.6613
"349",0.5645,0.765
"350",0.5399,0.5261
"351",0.0522,0.4469
"352",-0.3548,0.2819
"353",-0.4363,0.2788
"354",-0.4425,0.5921
"355",0.3597,0.6447
"356",0.3275,0.7204
"357",-0.388,0
"358",-0.8924,0.1889
"359",-0.2234,0.3973
"360",-0.2159,0.2557
"361",-0.2275,0.3287
"362",-0.3426,0.5147
"363",0.0293,0.4283
"364",-0.1288,0.3436
"365",-0.3128,0
"366",-1,0.2912
"367",-0.1293,0.326
"368",-0.348,0.1929
"369",-0.5602,0
"370",-0.388,0
"371",-0.8924,0.1889
"372",-0.2234,0.3973
"373",-0.4997,0.0937
"374",-0.4594,0
"375",0.1704,0.6616
"376",0.3271,0.6752
"377",0.3503,0.6553
"378",-0.0158,0.4335
"379",0.0982,0.4804
"380",-0.0391,0.5023
"381",0.0046,0.5049
"382",0.1314,0.4423
"383",-0.1154,0.4133
"384",-0.1735,0.4456
"385",-0.5852,0.4769
"386",-0.0384,0.4117
"387",-0.1703,0.3751
"388",0.1704,0.6616
"389",0.3271,0.6752
"390",0.3503,0.6553
"391",-0.4418,0.2745
"392",-0.4209,0.3182
"393",-0.0725,0.4325
"394",-0.0884,0.4149
"395",-0.1681,0.4931
"396",-0.0095,0.4224
"397",-0.1251,0.4625
"398",-0.051,0.4095
"399",-0.1708,0.3844
"400",0.1901,0.701
"401",0.4118,0.794
"402",0.593,0.7671
"403",0.4408,0.7564
"404",0.5204,0.6989
"405",0.4034,0.5429
"406",0.4453,0.7612
"407",0.5511,0.7319
"408",-0.2418,0.4566
"409",-0.2716,0.3203
"410",-0.3582,0.4608
"411",-0.0735,0.4321
"412",0.0157,0.4686
"413",-0.0467,0.4444
"414",-0.1082,0.4832
"415",0.1603,0.6172
"416",0.2344,0.6643
"417",0.3285,0.5746
"418",0.2647,0.6826
"419",0.3962,0.6573
"420",0.3262,0.8817
"421",-0.2924,0.3801
"422",-0.2231,0.3078
"423",-0.1854,0.3699
"424",-0.1512,0.3468
"425",-0.3064,0.4393
"426",-0.1214,0.469
"427",0.0083,0.5269
"428",0.0605,0.5776
"429",0.1584,0.5516
"430",0.3902,0.6211
"431",0.2502,0.5596
"432",0.125,0.4993
"433",0.0752,0.587
"434",0.174,0.5164
"435",0.0421,0.4909
"436",-0.3517,0.3326
"437",-0.3095,0.3514
"438",0.2301,0.5216
"439",0.1672,0.5453
"440",0.0907,0.6299
"441",0.2598,0.6022
"442",0.3523,0.5616
"443",0.1266,0.4644
"444",-0.0691,0.5835
"445",0.3366,0.663
"446",0.3423,0.6108
"447",0.2419,0.4064
"448",-0.2262,0.3828
"449",-0.2284,0.3345
"450",-0.3229,0.3436
"451",-0.3726,0.3371
"452",-0.2992,0.3495
"453",-0.161,0.3837
"454",-0.1853,0.3536
"455",-0.291,0.4402
"456",-0.1165,0.4125
"457",-0.2715,0.2708
"458",-0.4368,0.2994
"459",-0.3825,0.3182
"460",-0.099,0.3134
"461",-0.3552,0.2745
"462",-0.4511,0.205
"463",-0.4234,0.2543
"464",-0.4914,0.2364
"465",-0.5205,0.2243
"466",-0.5235,0.2475
"467",-0.4654,0.3326
"468",-0.1449,0.3778
"469",0.1413,0.485
"470",-0.0209,0.4685
"471",-0.0424,0.414
"472",-0.1948,0.3065
"473",-0.3627,0.3395
"474",-0.3175,0.4408
"475",-0.07,0.3969
"476",-0.1907,0.3838
"477",-0.2198,0.4131
"478",0.1305,0.69
"479",0.4007,0.611
"480",0.2304,0.5053
"481",0.2283,0.6125
"482",0.2518,0.57
"483",-0.1293,0.3033
"484",-0.264,0.2934
"485",-0.4133,0.4003
"486",-0.1961,0.3602
"487",-0.1339,0.3359
"488",-0.3283,0.3669
"489",-0.2549,0.4142
"490",0.0525,0.5655
"491",0.1309,0.5255
"492",0.0591,0.4653
"493",-0.4877,0.2096
"494",-0.5808,0.2539
"495",-0.4922,0.2316
"496",-0.2085,0.4183
"497",-0.1356,0.4443
"498",-0.0012,0.3598
"499",-0.0965,0.3873
"500",-0.2208,0.4119
"501",-0.1691,0.5203
"502",0.3526,0.5961
"503",0.2137,0.6137
"504",0.2316,0.6099
"505",0.4931,0.7059
"506",0.4155,0.7446
"507",0.4891,0.6715
"508",0.2578,0.6279
"509",0.2558,1
"510",1,0.769
"511",-0.013,0.512
"512",0.0324,0.6208
"513",-0.2449,0.3282
"514",-0.2047,0.3189
"515",-0.3592,0.4196
"516",-0.1543,0.416
"517",0.0109,0.5088
"518",0.0176,0.4984
"519",0.0119,0.566
"520",0.3157,0.4434
"521",-0.0876,0.3789
"522",-0.1105,0.3833
"523",0.2528,0.6902
"524",0.3805,0.6715
"525",0.3482,0.5703
"526",0.2648,0.5577
"527",0.1358,0.6456
"528",0.0499,0.6101
"529",0.2675,0.5612
"530",0.1224,0.639
"531",0.2909,0.6526
"532",0.4898,0.6428
"533",0.3155,0.638
"534",0.2944,0.6998
"535",0.6585,0.8265
"536",0.666,0.8635
"537",0.7371,0.8533
"538",0.6734,0.9594
"539",0.9187,0.7735
"540",0.647,0.8148
"541",0.5398,0.8416
"542",0.6954,0.835
"543",0.0156,0.5158
"544",0.1501,0.5168
"545",0.0491,0.5934
"546",0.1868,0.6139
"547",0.3927,0.5829
"548",0.175,0.6547
"549",0.3225,0.6846
"550",0.3983,0.6762
"551",0.3649,0.7054
"552",0.4206,0.6299
"553",-0.1152,0.3198
"554",-0.3604,0.2952
"555",-0.4096,0.326
"556",-0.4324,0.3086
"557",-0.3541,0.2964
"558",-0.0364,0.4467
"559",-0.0613,0.3869
"560",-0.2099,0.453
"561",-0.0737,0.4773
"562",0.0641,0.2394
"563",-0.4998,0.2843
"564",-0.4313,0.338
"565",0.3261,0.2626
"566",-0.4687,0.2663
"567",-0.4674,0.209
"568",-0.3067,0.3651
"569",-0.2697,0.2989
"570",-0.3938,0.3107
"571",-0.3797,0.4665
"572",-0.038,0.5012
"573",0.3611,0.5193
"574",0.3384,0.4497
"575",5e-04,0.6613
"576",0.4123,0.683
"577",0.5565,0.7183
"578",0.4366,0.5554
"579",0.207,0.7111
"580",0.1456,0.5037
"581",0.0251,0.4816
"582",-0.0368,0.2636
"583",-0.2229,0.3464
"584",-0.3072,0.3052
"585",-0.3896,0.3947
"586",0.4569,0.7883
"587",0.6147,0.8006
"588",0.2558,0.5923
"589",0.2748,0.4561
"590",-0.067,0.6285
"591",0.2989,0.5735
"592",0.4921,0.6796
"593",0.3944,0.5846
"594",0.2438,0.6973
"595",0.6378,0.4986
"596",0.0467,0.6361
"597",0.4334,0.6418
"598",0.3245,0.7067
"599",0.4397,0.6734
"600",0.3672,0.6607
"601",0.2629,0.5696
"602",0.1546,0.5457
"603",0.098,0.6106
"604",0.4351,0.5904
"605",0.2874,0.4828
"606",0.0245,0.5342
"607",-0.3438,0.4918
"608",-0.2642,0.3417
"609",-0.3167,0.4254
"610",-0.1493,0.5037
"611",0.2985,0.5894
"612",0.2524,0.3592
"613",-0.1801,0.5222
"614",0.3637,0.6532
"615",0.356,0.4193
"616",-0.1432,0.4188
"617",-0.0619,0.5124
"618",0.0895,0.5079
"619",0.0159,0.563
"620",-0.0601,0.4528
"621",-0.0944,0.3587
"622",-0.3871,0.3121
"623",-0.2786,0.3254
"624",-0.3493,0.3946
"625",-0.2108,0.3901
"626",-0.0329,0.3414
"627",-0.2052,0.6902
"628",0.4053,0.3386
"629",0.0414,0.5706
"630",0.1469,0.5486
"631",0.0972,0.5635
"632",0.0939,0.6427
"633",0.3191,0.6165
"634",0.2329,0.5576
"635",-0.402,0.3319
"636",-0.3103,0.2955
"637",-0.2122,0.3364
"638",-0.1667,0.3807
"639",-0.2386,0.4558
"640",-0.0883,0.4589
"641",0.0138,0.5026
"642",0.0051,0.4023
"643",-0.1183,0.5441
"644",0.0569,0.5195
"645",0.052,0.5086
"646",0.0293,0.4747
"647",0.0309,0.5644
"648",0.1587,0.5721
"649",0.1659,0.5329
"650",-0.1926,0.4214
"651",-0.1316,0.3489
"652",0.0301,0.5418
"653",-0.1391,0.4419
"654",-0.1162,0.4744
"655",-0.0513,0.4492
"656",-0.0994,0.3205
"657",-0.2762,0.7013
"658",0.4289,0.3506
"659",-0.0994,0.4419
"660",-0.1162,0.3245
"661",-0.3364,0.3108
"662",-0.408,0.289
"663",-0.3591,0.2762
"664",-0.4251,0.3186
"665",-0.1288,0.5749
"666",0.1698,0.526
"667",0.067,0.4838
"668",-0.0783,0.4144
"669",-0.1712,0.437
"670",-0.0842,0.5418
"671",0.1159,0.4988
"672",0.0126,0.4929
"673",-0.0141,0.4608
"674",-0.0847,0.4433
"675",-0.1135,0.4163
"676",-0.1675,0.4235
"677",-0.2737,0.2895
"678",-0.3632,0.3325
"679",-0.3181,0.4089
"680",0.1173,0.6366
"681",0.2865,0.65
"682",0.148,0.568
"683",0.0898,0.5685
"684",0.137,0.6356
"685",0.2712,0.6562
"686",-0.1411,0.2943
"687",-0.2961,0.5751
"688",0.2745,0
"689",0.3341,0.6179
"690",0.285,0.6003
"691",0.2711,0.4719
"692",0.6549,0.6774
"693",0.3548,0.8587
"694",0.7175,0.7306
"695",0.6089,0.8485
"696",0.6971,1
"697",0.1995,0.5698
"698",0.1793,0.5003
"699",7e-04,0.6114
"700",0.2228,0.6068
"701",0.4147,0.649
"702",0.4092,0.3912
"703",-0.2176,0.9075
"704",1,0.9465
"705",0.8996,0.9489
"706",0.8978,0.9534
"707",0.385,0.7737
"708",0.5473,1
"709",1,1
"710",0.7428,0.7107
"711",0.4215,0.6902
"712",0.391,0.6194
"713",0.5534,0.6565
"714",0.3129,0.7165
"715",0.4331,0.729
"716",0.5263,0.6963
"717",0.4754,0.698
"718",0.4814,0.6283
"719",0.58,0.7783
"720",0.5593,0.7865
"721",0.6272,0.7563
"722",0.2554,0.9019
"723",0.8038,1
"724",1,0.7226
"725",0.6624,0.8228
"726",0.6605,0.86
"727",0.3108,0.9098
"728",0.4378,0.628
"729",0.2559,0.7207
"730",0.4414,0.723
"731",0.3659,0.5352
"732",0.1351,0.4966
"733",0.0699,0.9189
"734",0.8603,0.951
"735",0.902,0.5417
"736",0.0975,0.5834
"737",0.0555,0.6938
"738",0.4471,1
"739",1,0.6437
"740",0.4523,0.7479
"741",0.535,0.6643
"742",0.3004,0.6708
"743",0.5534,0.7322
"744",0.4643,0.7611
"745",0.5221,0.7659
"746",0.7507,0.8207
"747",0.6414,0.7053
"748",0.4106,0.7297
"749",0.7124,0.916
"750",0.8654,0.9503
"751",0.9005,0.9445
"752",0.4616,0.9331
"753",0.8662,0.7844
"754",0.6062,0.8042
"755",0.798,0.9127
"756",0.8336,0.923
"757",0.2466,0.6291
"758",0.6708,0.7774
"759",0.5548,0.8138
"760",0.6275,0.8163
"761",0.6021,0.7063
"762",0.4876,0.6967
"763",0.5123,0.7857
"764",0.5801,0.7406
"765",0.5728,0.7845
"766",0.569,0.7119
"767",0.7207,0.8943
"768",0.8074,0.8869
"769",0.7977,0.9291
"770",0.794,0.9195
"771",0.8391,0.8999
"772",0.2851,0.616
"773",-0.0262,0.424
"774",-0.1521,0.3989
"775",-0.1278,0.5042
"776",0.6337,0.7268
"777",0.4831,0.6653
"778",0.4026,0.8178
"779",0.6631,0.8705
"780",0.763,0.8777
"781",0.7554,0.8711
"782",0.8272,0.9149
"783",0.8551,0.9301
"784",0.8603,0.949
"785",0.8594,0.8461
"786",0.7097,0.8362
"787",0.1708,0.5686
"788",0.5965,0.7116
"789",0.4232,0.7614
"790",0.5228,0.7541
"791",0.5049,0.6191
"792",0.4327,0.6818
"793",0.5207,0.7704
"794",0.6363,0.8366
"795",0.6733,0.8114
"796",0.6228,0.7945
"797",0.3181,0.824
"798",0.6764,0.747
"799",0.494,0.8041
"800",-0.4631,0.3471
"801",-0.2685,0.3417
"802",0.557,0.7062
"803",0.476,0.6419
"804",0.2839,0.7057
"805",0.4113,0.7057
"806",0.5487,0.7619
"807",0.5238,0.6389
"808",0.3601,0.5516
"809",0.5802,0.8496
"810",0.7127,0.7691
"811",0.5847,0.7611
"812",-0.4032,0.2974
"813",-0.3905,0.367
"814",-0.266,0.3547
"815",0.2883,0.7243
"816",0.487,0.7739
"817",0.6275,0.7279
"818",-0.0343,0.3816
"819",-0.2369,0.4718
"820",-0.0563,0.472
"821",0.072,0.5684
"822",0.1368,0.5758
"823",0.2691,0.6466
"824",0.2058,0.6324
"825",0.3252,0.6812
"826",0.3977,0.502
"827",-0.121,0.42
"828",-0.1601,0.3671
"829",-0.246,0.3717
"830",0.9303,0.9131
"831",0.8654,0.9309
"832",0.0536,0.5048
"833",0.6169,0.6973
"834",0.498,0.9081
"835",0.8162,0.7159
"836",0.2279,0.574
"837",0.1481,0.4875
"838",0.155,0.5164
"839",0.5778,0.8287
"840",0.6575,0.8191
"841",0.6901,0.7747
"842",0.9491,0.9641
"843",0.9438,0.9709
"844",0.9548,0.9723
"845",0.9258,0.9631
"846",0.9341,0.9545
"847",-0.1605,0.415
"848",-0.0032,0.4908
"849",-0.0183,0.461
"850",-0.0781,0.3981
"851",-0.6654,0.4623
"852",-0.0148,0.5168
"853",0.0888,0.6201
"854",0.3216,0.6557
"855",0.4517,0.5425
"856",0.2117,0.3499
"857",0.6476,0.8547
"858",0.7146,0.8437
"859",0.6873,0.8045
"860",0.5972,0.8498
"861",0.7165,0.88
"862",-0.0515,0.578
"863",0.76,0.5798
"864",0.1597,0.5937
"865",0.2555,0.5834
"866",0.7419,0.7405
"867",0.5654,0.8077
"868",0.6508,0.8676
"869",0.579,0.7508
"870",0.5519,0.4675
"871",-0.065,0.4267
"872",0.7992,0.9351
"873",0.8816,0.9106
"874",0.8411,0.9321
"875",0.1634,0.6364
"876",0.3161,0.8277
"877",0.5449,0.6642
"878",0.4915,0.6844
"879",0.3688,0.7313
"880",0.4626,0.7243
"881",0.487,0.5776
"882",0.3152,0.5326
"883",0.2005,0.5226
"884",0.9374,0.9703
"885",0.9473,0.9635
"886",0.937,0.9621
"887",0.8964,0.9016
"888",0.8307,0.5602
"889",0.2882,0.6121
"890",-0.1533,0.3941
"891",-0.069,0.3359
"892",0.3139,0.6212
"893",0.3658,0.6376
"894",0.2753,0.6705
"895",0.341,0.5572
"896",0.6691,0.7477
"897",0.5406,0.7881
"898",0.6218,0.7874
"899",0.6314,0.8324
"900",0.7047,0.8464
"901",0.6929,0.8239
"902",0.0437,0.4456
"903",-0.0931,0.503
"904",0.0284,0.6284
"905",-0.3813,0.3763
"906",-0.1944,0.3883
"907",-0.0143,0.329
"908",0.3569,0.6648
"909",0.3297,0.725
"910",0.4499,0.7463
"911",0.702,0.8358
"912",0.6715,0.7196
"913",0.588,0.8371
"914",0.9338,0.9857
"915",0.9714,0.9796
"916",0.9592,0.9821
"917",-0.5666,0.2124
"918",-0.5527,0.2356
"919",-0.5139,0.2439
"920",0.3583,0.6611
"921",0.3921,0.7422
"922",0.5957,0.6349
"923",0.5001,0.6406
"924",0.3938,0.6524
"925",0.447,0.6499
"926",0.6978,0.7424
"927",0.5494,0.7619
"928",0.6423,0.7159
"929",0.7615,0.8635
"930",0.7591,0.8409
"931",0.6818,0.8391
"932",-0.4102,0.2717
"933",-0.4231,0.2667
"934",-0.4415,0.2661
"935",-0.4686,0.3952
"936",-0.2095,0.4206
"937",0.6599,0.5633
"938",0.6273,0.685
"939",0.4664,0.7146
"940",0.5372,0.7058
"941",0.5122,0.7337
"942",0.5451,0.7188
"943",0.4375,0.7617
"944",-0.1524,0.4637
"945",0.0105,0.5161
"946",0.0537,0.5622
"947",0.5586,0.9639
"948",0.9277,0.6175
"949",0.2349,0.6407
"950",-0.4743,0.2604
"951",-0.383,0
"952",0.261,0.6246
"953",0.3176,0.5469
"954",0.2241,0.5623
"955",0.2797,0.5658
"956",-0.2594,0.3341
"957",-0.3049,0.6053
"958",0.2671,0.6986
"959",0.1567,0.5451
"960",0.1019,0.5607
"961",0.1335,0.5944
"962",-0.4631,0.2956
"963",-0.4087,0.2762
"964",-0.4477,0.3186
"965",-0.5711,0.2501
"966",-0.4611,0.21
"967",0.6433,0.4679
"968",-0.0729,0.3554
"969",-0.2382,0.4224
"970",-0.1552,0.3546
"971",0.1244,0.5465
"972",0.0929,0.5856
"973",0.2388,0.37
"974",-0.3172,0.2946
"975",-0.4108,0.213
"976",-0.5693,0.1904
"977",-0.4558,0.2241
"978",-0.4657,0
"979",-1,0
"980",-0.1522,0.4489
"981",-0.1022,0.3061
"982",0.2061,0.5138
"983",-0.2801,0.3255
"984",-0.349,0.368
"985",-0.2639,0.4743
"986",-0.1265,0.2539
"987",-0.4393,0.2306
"988",-0.4506,0.1567
"989",-0.1549,0.3289
"990",-0.3236,0.2998
"991",-0.3236,0.2029
"992",-0.412,0
"993",-1,0.2496
"994",-0.5008,0
"995",0.0064,0.5521
"996",0.1291,0.6178
"997",-0.0873,0.4269
"998",-0.1437,0.4193
"999",-0.1613,0.4181
"1000",-0.1639,0.4033
"1001",0.0327,0.4722
"1002",0.0274,0.4494
"1003",-0.0293,0.5221
"1004",0.0965,0.6663
"1005",0.3326,0.5576
"1006",0.1152,0.5505
"1007",-0.0864,0.4909
"1008",-0.0056,0.4179
"1009",-0.1567,0.3478
"1010",-0.4906,0.4012
"1011",-0.1977,0.4268
"1012",-0.2997,0.2977
"1013",-0.3221,0.3784
"1014",-0.2432,0.3811
"1015",-0.2157,0.4131
"1016",0.0637,0.5028
"1017",0.0396,0.4564
"1018",-0.025,0.2473
"1019",0.6338,0.7903
"1020",0.5855,0.7629
"1021",0.5661,0.7789
"1022",0.1514,0.6831
"1023",0.3661,0.9318
"1024",0.8636,0.6482
"1025",0.1657,0.5725
"1026",0.1451,0.6479
"1027",-0.2366,0.3679
"1028",-0.348,0.2859
"1029",-0.4282,0.3664
"1030",-0.2672,0.4326
"1031",0.385,0.4511
"1032",-0.0816,0.4199
"1033",-0.1488,0.6621
"1034",0.0899,0.4699
"1035",0.0195,0.4598
"1036",-0.0804,0.333
"1037",-0.4533,0.2425
"1038",-0.4646,0.266
"1039",-0.4223,0.2463
"1040",0.1216,0.6199
"1041",0.2398,0.5702
"1042",-0.2969,0.3197
"1043",0.2239,0.5579
"1044",0.1158,0.6467
"1045",0.2934,0.6286
"1046",-0.0055,0.3499
"1047",-0.3003,0.3348
"1048",-0.3305,0.4294
"1049",-0.1002,0.4428
"1050",-0.1144,0.3949
"1051",-0.2102,0.3157
"1052",-0.6248,0.5099
"1053",0.0198,0.5687
"1054",0.1738,0.5902
"1055",-0.3403,0.4518
"1056",-0.0963,0.3223
"1057",-0.1387,0.338
"1058",-0.3249,0.2817
"1059",-0.4365,0.3621
"1060",-0.2759,0.396
"1061",-0.1203,0.324
"1062",-0.352,0.4086
"1063",-0.1756,0.2762
"1064",-0.2192,0.335
"1065",-0.33,0
"1066",-1,0.2255
"1067",-0.4997,0.4197
"1068",-0.1549,0.4661
"1069",-0.0677,0.4345
"1070",-0.8478,0.2535
"1071",-0.4621,0.2533
"1072",0.1453,0.588
"1073",-0.2295,0.3254
"1074",-0.3493,0.5403
"1075",0.0806,0.623
"1076",-0.0681,0.2773
"1077",-0.4454,0.2894
"1078",-0.3516,0.3423
"1079",0.1818,0.5478
"1080",0.1071,0.5242
