treat,age,ed,black,hisp,married,nodeg,re74,re75,re78,age2
1,21,9,1,0,0,1,0.0,0.0,0.0,441.0
1,40,11,1,0,0,1,0.0,0.0,23005.6,1600.0
1,22,11,1,0,0,1,0.0,0.0,6456.697,484.0
1,25,12,1,0,0,0,0.0,0.0,0.0,625.0
1,18,12,1,0,0,0,0.0,0.0,2321.107,324.0
1,38,12,0,0,0,0,0.0,0.0,4941.849,1444.0
1,27,13,1,0,0,0,0.0,0.0,0.0,729.0
1,27,8,1,0,0,1,0.0,0.0,0.0,729.0
1,38,11,1,0,0,1,0.0,0.0,0.0,1444.0
1,23,8,0,1,0,1,0.0,0.0,3881.284,529.0
1,26,11,1,0,0,1,0.0,0.0,17230.96,676.0
1,21,12,0,0,0,0,0.0,0.0,8048.603,441.0
1,25,8,1,0,0,1,0.0,0.0,0.0,625.0
1,31,11,1,0,1,1,0.0,0.0,14509.93,961.0
1,17,10,1,0,0,1,0.0,0.0,0.0,289.0
1,25,11,1,0,0,1,0.0,0.0,0.0,625.0
1,21,12,1,0,0,0,0.0,0.0,9983.784,441.0
1,44,11,1,0,0,1,0.0,0.0,0.0,1936.0
1,25,12,0,0,0,0,0.0,0.0,5587.503,625.0
1,18,9,1,0,0,1,0.0,0.0,4482.845,324.0
1,42,12,1,0,0,0,0.0,0.0,2456.153,1764.0
1,25,10,1,0,0,1,0.0,0.0,0.0,625.0
1,31,9,0,1,0,1,0.0,0.0,26817.6,961.0
1,24,10,1,0,0,1,0.0,0.0,0.0,576.0
1,26,10,1,0,0,1,0.0,0.0,9265.788,676.0
1,25,11,1,0,0,1,0.0,0.0,485.2298,625.0
1,18,11,1,0,0,1,0.0,0.0,4814.627,324.0
1,19,11,1,0,0,1,0.0,0.0,7458.105,361.0
1,43,9,1,0,0,1,0.0,0.0,0.0,1849.0
1,27,13,1,0,0,0,0.0,0.0,34099.28,729.0
1,17,9,1,0,0,1,0.0,0.0,1953.268,289.0
1,30,11,1,0,0,1,0.0,0.0,0.0,900.0
1,26,10,1,0,1,1,2027.999,0.0,0.0,676.0
1,20,9,1,0,0,1,6083.994,0.0,8881.665,400.0
1,17,9,0,1,0,1,445.1704,74.34345,6210.67,289.0
1,20,12,1,0,0,0,989.2678,165.2077,0.0,400.0
1,18,11,1,0,0,1,858.2543,214.5636,929.8839,324.0
1,27,12,1,0,1,0,3670.872,334.0493,0.0,729.0
1,21,12,0,0,0,0,3670.872,334.0494,12558.02,441.0
1,27,12,1,0,0,0,2143.413,357.9499,22163.25,729.0
1,20,12,1,0,0,0,0.0,377.5686,1652.637,400.0
1,19,10,1,0,0,1,0.0,385.2741,8124.715,361.0
1,23,12,1,0,0,0,5506.308,501.0741,671.3318,529.0
1,29,14,1,0,0,0,0.0,679.6734,17814.98,841.0
1,18,10,1,0,0,1,0.0,798.9079,9737.154,324.0
1,19,9,1,0,0,1,0.0,798.9079,17685.18,361.0
1,27,13,0,0,1,0,9381.566,853.7225,0.0,729.0
1,18,11,0,0,0,1,3678.231,919.5579,4321.705,324.0
1,27,9,1,0,1,1,0.0,934.4454,1773.423,729.0
1,22,12,1,0,0,0,5605.852,936.1773,0.0,484.0
1,23,10,1,0,1,1,0.0,936.4386,11233.26,529.0
1,23,12,0,1,0,0,9385.74,1117.439,559.4432,529.0
1,20,11,1,0,0,1,3637.498,1220.836,1085.44,400.0
1,17,9,1,0,0,1,1716.509,1253.439,5445.2,289.0
1,28,11,1,0,0,1,0.0,1284.079,60307.93,784.0
1,26,11,1,0,1,1,0.0,1392.853,1460.36,676.0
1,20,11,1,0,0,1,16318.62,1484.994,6943.342,400.0
1,24,11,1,0,1,1,824.3886,1666.113,4032.708,576.0
1,31,9,1,0,0,1,0.0,1698.607,10363.27,961.0
1,23,8,0,0,1,1,0.0,1713.15,4232.309,529.0
1,18,10,1,0,0,1,2143.411,1784.274,11141.39,324.0
1,29,12,1,0,0,0,10881.94,1817.284,0.0,841.0
1,26,11,0,0,0,1,0.0,2226.266,13385.86,676.0
1,24,9,1,0,0,1,9154.7,2288.675,4849.559,576.0
1,25,12,1,0,0,0,14426.79,2409.274,0.0,625.0
1,24,10,1,0,0,1,4250.402,2421.947,1660.508,576.0
1,46,8,1,0,0,1,3165.658,2594.723,0.0,2116.0
1,31,12,0,0,0,0,0.0,2611.218,2484.549,961.0
1,19,11,1,0,0,1,2305.026,2615.276,4146.603,361.0
1,19,8,1,0,0,1,0.0,2657.057,9970.681,361.0
1,27,11,1,0,0,1,2206.94,2666.274,0.0,729.0
1,26,11,1,0,1,1,0.0,2754.646,26372.28,676.0
1,20,10,1,0,0,1,5005.731,2777.355,5615.189,400.0
1,28,10,1,0,0,1,0.0,2836.506,3196.571,784.0
1,24,12,1,0,0,0,13765.75,2842.764,6167.681,576.0
1,19,8,1,0,0,1,2636.353,2937.264,7535.942,361.0
1,23,12,1,0,0,0,6269.341,3039.96,8484.239,529.0
1,42,9,1,0,1,1,0.0,3058.531,1294.409,1764.0
1,25,13,1,0,0,0,12362.93,3090.732,0.0,625.0
1,18,9,1,0,0,1,0.0,3287.375,5010.342,324.0
1,21,12,1,0,0,0,6473.683,3332.409,9371.037,441.0
1,27,10,1,0,0,1,1001.146,3550.075,0.0,729.0
1,21,8,1,0,0,1,989.2678,3695.897,4279.613,441.0
1,22,9,1,0,0,1,2192.877,3836.986,3462.564,484.0
1,31,4,1,0,0,1,8517.589,4023.211,7382.549,961.0
1,24,10,1,0,1,1,11703.2,4078.152,0.0,576.0
1,29,10,1,0,0,1,0.0,4398.95,0.0,841.0
1,29,12,1,0,0,0,9748.387,4878.937,10976.51,841.0
1,19,10,0,0,0,1,0.0,5324.109,13829.62,361.0
1,19,11,0,1,1,1,5424.485,5463.803,6788.463,361.0
1,31,9,1,0,0,1,10717.03,5517.841,9558.501,961.0
1,22,10,1,0,1,1,1468.348,5588.664,13228.28,484.0
1,21,9,1,0,0,1,6416.47,5749.331,743.6666,441.0
1,17,10,1,0,0,1,1291.468,5793.852,5522.788,289.0
1,26,12,1,0,1,0,8408.762,5794.831,1424.944,676.0
1,20,9,0,1,0,1,12260.78,5875.049,1358.643,400.0
1,19,10,1,0,0,1,4121.949,6056.754,0.0,361.0
1,26,10,1,0,0,1,25929.68,6788.958,672.8773,676.0
1,28,11,1,0,0,1,1929.029,6871.856,0.0,784.0
1,22,12,0,1,1,0,492.2305,7055.702,10092.83,484.0
1,33,11,1,0,0,1,0.0,7867.916,6281.433,1089.0
1,22,12,0,0,0,0,6759.994,8455.504,12590.71,484.0
1,29,10,0,1,0,1,0.0,8853.674,5112.014,841.0
1,33,12,1,0,1,0,20279.95,10941.35,15952.6,1089.0
1,25,14,1,0,1,0,35040.07,11536.57,36646.95,625.0
1,35,9,1,0,1,1,13602.43,13830.64,12803.97,1225.0
1,35,8,1,0,1,1,13732.07,17976.15,3786.628,1225.0
1,33,11,1,0,1,1,14660.71,25142.24,4181.942,1089.0
0,23,10,1,0,0,1,0.0,0.0,0.0,529.0
0,26,12,0,0,0,0,0.0,0.0,12383.68,676.0
0,22,9,1,0,0,1,0.0,0.0,0.0,484.0
0,18,9,1,0,0,1,0.0,0.0,10740.08,324.0
0,45,11,1,0,0,1,0.0,0.0,11796.47,2025.0
0,18,9,1,0,0,1,0.0,0.0,9227.052,324.0
0,24,8,0,0,0,1,0.0,0.0,10569.27,576.0
0,34,11,1,0,1,1,0.0,0.0,6040.335,1156.0
0,24,4,0,1,0,1,0.0,0.0,3880.833,576.0
0,36,10,1,0,0,1,0.0,0.0,0.0,1296.0
0,21,14,1,0,0,0,0.0,0.0,5775.062,441.0
0,28,9,1,0,0,1,0.0,0.0,0.0,784.0
0,27,7,1,0,1,1,0.0,0.0,0.0,729.0
0,19,11,0,0,0,1,0.0,0.0,0.0,361.0
0,20,8,1,0,0,1,0.0,0.0,0.0,400.0
0,34,12,1,0,0,0,0.0,0.0,2113.722,1156.0
0,24,10,1,0,0,1,0.0,0.0,7618.639,576.0
0,22,8,0,1,0,1,0.0,0.0,9920.945,484.0
0,25,11,1,0,0,1,0.0,0.0,4196.375,625.0
0,39,9,1,0,0,1,0.0,0.0,0.0,1521.0
0,19,9,1,0,1,1,0.0,0.0,16658.25,361.0
0,44,9,1,0,0,1,0.0,0.0,9722.003,1936.0
0,27,8,1,0,0,1,0.0,0.0,3783.66,729.0
0,25,8,1,0,0,1,0.0,0.0,3515.929,625.0
0,31,10,1,0,0,1,0.0,0.0,17014.59,961.0
0,34,10,1,0,1,1,0.0,0.0,0.0,1156.0
0,21,7,0,1,0,1,0.0,0.0,0.0,441.0
0,33,12,1,0,0,0,0.0,0.0,5970.257,1089.0
0,18,10,0,1,0,1,0.0,0.0,1859.167,324.0
0,26,12,1,0,1,0,0.0,0.0,6191.943,676.0
0,31,12,1,0,0,0,0.0,0.0,7284.394,961.0
0,35,10,1,0,0,1,0.0,0.0,445.8309,1225.0
0,20,12,1,0,0,0,0.0,0.0,0.0,400.0
0,25,11,1,0,0,1,0.0,0.0,0.0,625.0
0,25,10,1,0,0,1,0.0,0.0,7367.04,625.0
0,35,11,1,0,0,1,0.0,0.0,0.0,1225.0
0,20,10,1,0,0,1,0.0,0.0,2015.503,400.0
0,25,9,0,1,0,1,0.0,0.0,15791.13,625.0
0,27,10,1,0,0,1,0.0,0.0,1135.47,729.0
0,20,11,0,1,0,1,0.0,0.0,6378.72,400.0
0,26,11,1,0,0,1,0.0,0.0,7176.187,676.0
0,38,8,1,0,0,1,0.0,0.0,0.0,1444.0
0,34,10,1,0,0,1,0.0,0.0,7952.54,1156.0
0,19,12,1,0,0,0,0.0,0.0,0.0,361.0
0,32,8,1,0,0,1,0.0,0.0,7152.132,1024.0
0,20,9,0,1,0,1,0.0,0.0,8329.823,400.0
0,23,10,1,0,0,1,0.0,0.0,0.0,529.0
0,38,10,1,0,0,1,0.0,0.0,12429.91,1444.0
0,24,11,1,0,0,1,0.0,0.0,0.0,576.0
0,23,11,1,0,0,1,0.0,0.0,5088.76,529.0
0,20,7,0,1,0,1,0.0,0.0,4374.04,400.0
0,21,11,1,0,0,1,0.0,0.0,1553.291,441.0
0,25,10,1,0,0,1,0.0,0.0,0.0,625.0
0,22,11,1,0,1,1,0.0,0.0,1698.304,484.0
0,23,11,1,0,0,1,0.0,0.0,0.0,529.0
0,24,12,0,0,0,0,0.0,0.0,11294.63,576.0
0,29,11,1,0,0,1,0.0,0.0,0.0,841.0
0,24,11,1,0,0,1,0.0,0.0,14626.39,576.0
0,22,9,1,0,0,1,0.0,0.0,12898.38,484.0
0,28,11,1,0,0,1,0.0,0.0,5767.133,784.0
0,18,10,0,1,0,1,0.0,0.0,6527.919,324.0
0,26,10,1,0,0,1,0.0,0.0,3931.238,676.0
0,25,10,1,0,0,1,0.0,0.0,20942.24,625.0
0,24,10,1,0,0,1,0.0,0.0,0.0,576.0
0,26,5,1,0,0,1,0.0,0.0,0.0,676.0
0,36,10,1,0,0,1,0.0,0.0,14690.35,1296.0
0,22,11,1,0,0,1,0.0,0.0,0.0,484.0
0,25,12,1,0,0,0,0.0,0.0,3418.097,625.0
0,27,11,1,0,0,1,0.0,0.0,11197.34,729.0
0,29,8,1,0,0,1,0.0,0.0,0.0,841.0
0,24,12,1,0,0,0,0.0,0.0,0.0,576.0
0,22,10,1,0,0,1,0.0,0.0,0.0,484.0
0,24,7,1,0,0,1,0.0,0.0,1455.69,576.0
0,29,12,1,0,0,0,0.0,0.0,1890.937,841.0
0,25,11,0,1,1,1,0.0,0.0,4485.616,625.0
0,30,12,1,0,0,0,0.0,0.0,13613.35,900.0
0,22,8,1,0,0,1,0.0,0.0,1390.509,484.0
0,55,3,1,0,0,1,0.0,0.0,5843.796,3025.0
0,20,10,1,0,0,1,0.0,0.0,8598.522,400.0
0,34,11,1,0,0,1,0.0,0.0,2920.199,1156.0
0,22,12,1,0,0,0,0.0,0.0,0.0,484.0
0,32,12,0,1,1,0,0.0,0.0,6735.32,1024.0
0,31,10,1,0,0,1,0.0,0.0,0.0,961.0
0,18,9,1,0,0,1,0.0,0.0,0.0,324.0
0,50,10,0,1,0,1,0.0,0.0,0.0,2500.0
0,25,11,1,0,1,1,0.0,0.0,44.75546,625.0
0,23,10,1,0,1,1,0.0,0.0,0.0,529.0
0,38,10,1,0,0,1,0.0,0.0,0.0,1444.0
0,25,10,1,0,1,1,0.0,0.0,3701.812,625.0
0,42,10,1,0,0,1,0.0,0.0,6930.336,1764.0
0,39,12,1,0,1,0,0.0,0.0,3795.799,1521.0
0,34,13,1,0,1,0,0.0,0.0,5193.247,1156.0
0,24,7,1,0,0,1,0.0,0.0,2193.528,576.0
0,32,11,1,0,0,1,0.0,0.0,11120.53,1024.0
0,27,13,1,0,0,0,0.0,0.0,7609.518,729.0
0,26,10,1,0,0,1,0.0,0.0,2169.027,676.0
0,44,11,1,0,0,1,0.0,0.0,0.0,1936.0
0,25,11,1,0,0,1,0.0,0.0,1264.232,625.0
0,25,12,1,0,0,0,0.0,0.0,0.0,625.0
0,28,12,1,0,1,0,0.0,0.0,0.0,784.0
0,32,10,1,0,0,1,0.0,0.0,0.0,1024.0
0,22,10,1,0,0,1,0.0,0.0,0.0,484.0
0,19,9,1,0,0,1,0.0,0.0,5712.643,361.0
0,31,10,1,0,1,1,0.0,0.0,0.0,961.0
0,23,11,1,0,0,1,0.0,0.0,0.0,529.0
0,33,11,1,0,0,1,0.0,0.0,0.0,1089.0
0,27,10,1,0,0,1,0.0,0.0,1184.882,729.0
0,29,11,1,0,1,1,0.0,0.0,10225.88,841.0
0,23,10,1,0,0,1,0.0,0.0,0.0,529.0
0,25,9,1,0,1,1,0.0,0.0,4715.371,625.0
0,25,10,1,0,0,1,0.0,0.0,289.7899,625.0
0,24,10,1,0,0,1,0.0,0.0,0.0,576.0
0,28,8,0,0,0,1,0.0,0.0,8190.421,784.0
0,26,6,1,0,0,1,0.0,0.0,4813.05,676.0
0,30,14,1,0,1,0,0.0,0.0,7344.678,900.0
0,25,10,1,0,1,1,0.0,0.0,0.0,625.0
0,29,11,1,0,1,1,0.0,0.0,0.0,841.0
0,25,12,1,0,1,0,0.0,0.0,0.0,625.0
0,28,13,1,0,0,0,0.0,0.0,0.0,784.0
0,23,11,1,0,0,1,0.0,0.0,4350.907,529.0
0,54,11,1,0,0,1,0.0,0.0,7812.522,2916.0
0,33,5,0,1,0,1,0.0,0.0,0.0,1089.0
0,20,8,1,0,0,1,0.0,0.0,3644.655,400.0
0,45,9,1,0,0,1,0.0,0.0,4844.803,2025.0
0,39,6,1,0,0,1,0.0,0.0,0.0,1521.0
0,26,12,1,0,0,0,0.0,0.0,0.0,676.0
0,23,10,1,0,0,1,0.0,0.0,0.0,529.0
0,27,12,0,0,0,0,0.0,0.0,14792.9,729.0
0,33,9,0,1,1,1,0.0,0.0,0.0,1089.0
0,25,10,1,0,1,1,0.0,0.0,0.0,625.0
0,23,8,1,0,0,1,0.0,0.0,3746.701,529.0
0,18,8,1,0,0,1,0.0,0.0,1568.15,324.0
0,17,8,1,0,0,1,0.0,0.0,7010.444,289.0
0,19,9,0,1,0,1,0.0,0.0,3811.683,361.0
0,18,8,0,1,0,1,0.0,0.0,10798.56,324.0
0,18,11,1,0,0,1,0.0,0.0,4657.273,324.0
0,17,11,1,0,0,1,0.0,0.0,8551.533,289.0
0,19,10,1,0,0,1,0.0,0.0,4309.878,361.0
0,19,10,1,0,0,1,0.0,0.0,5286.396,361.0
0,18,9,1,0,0,1,0.0,0.0,12486.17,324.0
0,18,9,1,0,0,1,0.0,0.0,10877.35,324.0
0,18,10,1,0,0,1,0.0,0.0,202.2847,324.0
0,17,10,1,0,0,1,0.0,0.0,2657.705,289.0
0,18,7,1,0,0,1,0.0,0.0,4132.577,324.0
0,18,11,1,0,0,1,0.0,0.0,11303.14,324.0
0,19,10,0,1,0,1,0.0,0.0,0.0,361.0
0,18,9,1,0,0,1,0.0,0.0,0.0,324.0
0,17,10,1,0,0,1,0.0,0.0,0.0,289.0
0,17,10,1,0,0,1,0.0,0.0,2189.426,289.0
0,19,11,1,0,0,1,0.0,0.0,0.0,361.0
0,17,8,0,0,0,1,0.0,0.0,10210.99,289.0
0,18,10,1,0,0,1,0.0,0.0,11048.08,324.0
0,18,9,1,0,0,1,0.0,0.0,0.0,324.0
0,17,8,1,0,0,1,0.0,0.0,8993.865,289.0
0,19,6,0,1,0,1,0.0,0.0,5071.801,361.0
0,19,10,0,0,0,1,0.0,0.0,3194.01,361.0
0,17,11,0,0,0,1,0.0,0.0,0.0,289.0
0,20,9,1,0,0,1,0.0,0.0,5193.089,400.0
0,17,9,1,0,0,1,0.0,0.0,0.0,289.0
0,17,10,1,0,0,1,0.0,0.0,275.5661,289.0
0,17,9,1,0,0,1,0.0,0.0,3590.702,289.0
0,19,11,1,0,0,1,0.0,0.0,0.0,361.0
0,19,10,1,0,1,1,0.0,0.0,12797.67,361.0
0,20,9,1,0,0,1,0.0,0.0,2035.914,400.0
0,18,9,1,0,0,1,0.0,0.0,2389.679,324.0
0,18,11,1,0,0,1,0.0,0.0,0.0,324.0
0,17,10,0,1,0,1,0.0,0.0,8469.275,289.0
0,19,11,1,0,0,1,0.0,0.0,0.0,361.0
0,17,10,1,0,0,1,0.0,0.0,1143.387,289.0
0,17,9,0,1,0,1,0.0,0.0,5114.814,289.0
0,18,10,1,0,0,1,0.0,0.0,781.2243,324.0
0,21,9,1,0,0,1,591.4991,0.0,3343.224,441.0
0,18,10,1,0,0,1,1563.249,0.0,9602.439,324.0
0,19,11,1,0,0,1,1626.623,0.0,0.0,361.0
0,24,9,1,0,0,1,2788.498,0.0,16461.57,576.0
0,28,11,0,1,1,1,3472.948,0.0,6771.622,784.0
0,25,11,1,0,0,1,5281.245,0.0,0.0,625.0
0,21,7,1,0,0,1,33799.95,0.0,11011.57,441.0
0,39,11,1,0,0,1,0.0,83.68964,0.0,1521.0
0,36,12,1,0,0,0,0.0,142.3973,0.0,1296.0
0,24,12,1,0,0,0,0.0,159.8847,0.0,576.0
0,17,11,1,0,0,1,989.2678,165.2077,4251.127,289.0
0,18,10,1,0,0,1,960.4268,240.1067,2891.668,324.0
0,18,10,1,0,0,1,0.0,273.5525,5514.365,324.0
0,28,10,1,0,0,1,1471.293,367.8234,4858.895,784.0
0,27,13,0,0,0,0,5214.306,474.5018,4812.576,729.0
0,31,12,0,0,0,0,0.0,494.643,0.0,961.0
0,22,9,1,0,0,1,0.0,506.4076,604.1987,484.0
0,31,10,1,0,0,1,0.0,520.4463,14527.88,961.0
0,26,10,1,0,1,1,6140.367,558.7734,0.0,676.0
0,18,9,0,0,0,1,0.0,559.596,7300.498,324.0
0,23,11,1,0,0,1,6382.309,580.7901,0.0,529.0
0,20,12,1,0,0,0,0.0,591.8151,4159.919,400.0
0,19,10,1,0,0,1,0.0,604.1539,0.0,361.0
0,18,11,1,0,0,1,1064.699,645.2723,5497.591,324.0
0,17,10,1,0,0,1,0.0,664.569,0.0,289.0
0,27,12,1,0,1,0,0.0,752.3901,0.0,729.0
0,27,11,1,0,0,1,3065.194,766.2986,0.0,729.0
0,28,12,0,0,0,0,0.0,803.343,16477.02,784.0
0,28,11,1,0,0,1,2431.949,863.4795,0.0,784.0
0,21,10,1,0,0,1,6661.063,1162.362,39483.53,441.0
0,17,10,0,1,0,1,4905.119,1168.902,11306.27,289.0
0,26,11,1,0,0,1,4699.963,1174.991,6672.021,676.0
0,29,9,1,0,0,1,0.0,1203.824,9378.653,841.0
0,17,10,0,1,0,1,1203.609,1239.628,5088.986,289.0
0,22,11,1,0,0,1,7914.131,1321.66,2639.29,484.0
0,24,11,1,0,0,1,0.0,1327.993,9495.902,576.0
0,20,12,1,0,0,0,557.6988,1371.473,20893.11,400.0
0,18,12,1,0,0,0,0.0,1405.512,0.0,324.0
0,24,11,0,0,0,1,2669.725,1468.383,10361.69,576.0
0,21,9,0,0,0,1,2988.412,1577.167,1740.199,441.0
0,30,8,1,0,0,1,0.0,1706.657,0.0,900.0
0,31,11,1,0,0,1,17711.88,1726.445,0.0,961.0
0,17,10,0,1,0,1,1442.681,1734.559,6354.194,289.0
0,19,9,1,0,0,1,8409.627,1778.089,7171.0,361.0
0,23,11,1,0,0,1,0.0,1896.023,5573.547,529.0
0,22,12,1,0,0,0,4380.017,2003.68,439.6881,484.0
0,29,12,1,0,0,0,22859.44,2080.209,16969.95,841.0
0,22,10,1,0,0,1,0.0,2174.955,5344.021,484.0
0,29,13,1,0,0,0,718.2492,2265.579,2725.322,841.0
0,19,11,1,0,0,1,721.3406,2445.589,9772.283,361.0
0,17,9,1,0,0,1,0.0,2595.267,0.0,289.0
0,18,10,1,0,0,1,1716.509,2682.125,0.0,324.0
0,19,12,1,0,0,0,8417.0,2814.195,1720.907,361.0
0,20,6,1,0,0,1,6006.879,2850.61,0.0,400.0
0,33,11,1,0,0,1,10523.83,2899.82,18859.89,1089.0
0,36,11,0,1,0,1,5443.734,3063.878,1324.542,1296.0
0,25,11,1,0,0,1,15209.99,3072.726,284.6584,625.0
0,19,11,1,0,0,1,3504.014,3285.68,11195.93,361.0
0,23,8,1,0,0,1,7724.283,3403.056,0.0,529.0
0,17,11,1,0,0,1,4080.73,3796.029,0.0,289.0
0,43,10,1,0,0,1,2502.868,4128.443,7565.273,1849.0
0,26,11,1,0,1,1,0.0,4184.732,0.0,676.0
0,27,11,1,0,1,1,0.0,4491.884,0.0,729.0
0,19,11,1,0,0,1,6337.492,4503.064,0.0,361.0
0,28,11,1,0,1,1,8593.163,5393.895,4974.586,784.0
0,28,12,1,0,1,0,10585.13,5551.456,12780.02,784.0
0,26,8,1,0,0,1,1126.29,5562.598,3523.578,676.0
0,31,12,1,0,0,0,0.0,5613.909,0.0,961.0
0,23,11,1,0,0,1,7617.362,5716.407,10274.84,529.0
0,20,12,1,0,0,0,7182.492,6004.728,4779.72,400.0
0,28,10,1,0,1,1,8293.345,6449.48,16988.18,784.0
0,39,12,1,0,1,0,19785.32,6608.137,499.2572,1521.0
0,21,8,1,0,0,1,39570.68,6608.304,3083.581,441.0
0,22,11,1,0,0,1,8810.067,6974.484,3708.719,484.0
0,20,11,1,0,0,1,8009.164,7666.875,7659.218,400.0
0,21,11,0,1,0,1,2992.534,8920.471,20857.84,441.0
0,23,12,0,1,0,0,5721.696,8960.684,7078.178,529.0
0,29,9,1,0,0,1,9268.943,9160.693,0.0,841.0
0,28,9,1,0,1,1,10222.41,9210.447,1239.844,784.0
0,30,11,1,0,1,1,0.0,9311.938,3982.801,900.0
0,25,10,1,0,1,1,13519.97,9319.444,0.0,625.0
0,28,11,1,0,1,1,824.3889,10033.91,0.0,784.0
0,22,10,0,0,0,1,27864.36,10598.67,7094.92,484.0
0,44,9,1,0,1,1,12260.78,10857.24,12359.31,1936.0
0,21,9,1,0,0,1,31886.43,12357.22,0.0,441.0
0,28,11,1,0,0,1,17491.45,13371.25,0.0,784.0
0,29,9,0,1,0,1,9594.308,16341.16,16900.3,841.0
